lambda0,slope,log_likelihood
33105432.4596189,1.72932470388051,-231226888541867
437660469136.431,-1.20636066250301,-624587211581.536
112.26128136869,2.40939284949597,-322552682277.522
2.52528417338657,2.46170659940315,-11560502070.592
377.611646507683,1.63979855802436,-1202592710.66168
5521.69505661845,1.25017402355104,-595854033.462429
370362.119891546,0.239013392854029,-13597319.7077398
11.9496879091391,1.46574217715789,-8324138.1040682
0.0727951817370506,2.03691227690952,-7661116.61888888
1752088.25577499,-0.897571443048964,-2954873.94198081
3418.38097324047,0.629660889636219,-2109050.05454473
461.854872760784,0.807572528678877,-1192656.66911668
550543.938165444,-0.719546796528766,-1070247.19011387
0.000493134268768915,2.3466684757291,-810391.597227423
86468.4136009335,-0.170938573666434,-448377.81765666
1.99036979080569,1.3277434802101,-417740.448122621
107416.693519578,-0.364827113286666,-340131.060449096
134452.557389292,-0.907519557622737,-223996.124489627
62787.5180571599,-0.512329502159796,-153937.14222298
55995.8333603769,-0.557989464465531,-128801.589087276
50615.895253653,-0.496266172647552,-126774.776179443
0.112065492182895,1.51132657726818,-115292.890834449
78.7748039387999,0.733312302264809,-109714.712390364
27233.0718389835,-0.349166549025316,-87847.4770606119
45.483804195352,0.754856072601496,-75049.6073766887
171.510352900438,0.568688827606616,-64221.5380242703
0.645000476468897,1.23259064449184,-58895.6285638886
0.0573816650153333,1.47716964590849,-43564.6153311737
21774.620529352,-0.673622748862901,-43172.004964429
0.0724860834117884,1.43900502654988,-39420.1215601418
1639.92516050071,0.159984936356082,-35692.889535239
39.0750974871848,0.674090557130064,-33000.0306416107
121.955212491957,0.507916139316647,-28000.7293563118
5876.54978303905,-0.183303625321105,-27939.9416636883
15693.9782817202,-1.06238958955497,-23447.0953532973
0.0879891145960537,1.34622246970876,-21207.9059314409
19.3661725945639,0.683988094208583,-17275.0387486356
20.649356119414,0.662215288739802,-15380.4734377766
6.93078936662229e-15,0.54232258502014,-9456.11978551206
4.11418234616509e-09,-1.43603228068703,-8470.59003685359
2.57412426571216e-07,-1.99163728096879,-8076.21383591062
5329.56955328604,-1.04785942286525,-7966.25828337241
2.45170655080532e-12,0.397334090310551,-7954.76169897415
4.54300874451921e-06,-2.43274080570388,-7883.75515676439
5.70328411844845e-08,-1.45787649370924,-7734.8473171407
3.71347188110423e-09,-0.883754736072057,-7691.97778594285
2.12134004379916e-07,-1.50597983300706,-7421.70206091561
0.0748223658580915,1.22818815112728,-6373.39353693521
7.16971129773314e-12,1.34400143454441,-6255.50104067416
526.046835244225,0.0716235246410944,-6211.38772559201
3186.13010525866,-0.650406656487588,-5980.06726414512
