mu,sigma,log_likelihood
73.7027436610849,143.856321560021,-75.3103260732507
55.4030164664141,125.064024531897,-76.258841568207
82.1513845844198,113.324998285582,-74.7689713465549
213.589657136538,117.580459403308,-75.0903545904601
125.507565142647,117.461479996789,-73.1795484197932
98.9796998327998,114.717275498321,-73.918238793273
128.214795415499,87.5821873709552,-73.5428323697677
128.588816290705,111.900041504943,-73.0508858007401
118.715466153046,103.245120074489,-73.2629910062029
141.551087544557,136.474119912497,-73.580128856333
181.509994961846,123.887847107724,-73.7084252714731
127.590269109231,117.735755279168,-73.151942544242
161.987102164257,144.478809254387,-73.9650555550299
125.499849236522,80.6634430323516,-74.2264150019821
123.836021537246,101.560803554168,-73.1471712986878
130.205305874801,98.4762431300476,-73.0631628215166
83.9245428715385,106.324741163246,-74.8371604195439
189.234099118005,100.289790860435,-74.0987633787474
101.961306137033,126.909704714363,-73.9382393714636
155.726879314706,121.186177425033,-73.1560811997008
145.548371077637,103.879244678321,-72.8847084309835
112.670142260858,113.411654822386,-73.424340446473
141.832716786734,100.950835571678,-72.9067801557114
131.990987750363,116.033042434974,-73.0640716144358
144.004854126295,134.106312223231,-73.4939424442799
138.298180925322,123.472420700713,-73.1796968949878
179.043461614307,132.519015069621,-73.8454291440908
118.987916710072,90.8665080653756,-73.6381521177186
123.222889870963,76.1519862561336,-74.9139116266681
128.124041614416,105.196304068998,-73.0295245496053
169.102801409081,138.776429792602,-73.8482001472142
44.8294386769853,124.137241472402,-77.0565984743348
131.737670338812,105.306471056034,-72.971964782603
155.849531107981,88.9378843583801,-73.3526178861675
151.381101510798,138.952609144383,-73.6817669753719
125.352666137288,99.9448768498618,-73.1357781943144
109.049900018775,76.6293541872558,-75.6650998581769
166.403761028093,89.0809122685245,-73.6087579268161
100.20834434466,136.407938260556,-74.209760971737
174.752783942728,164.417377690353,-74.9083795716158
145.900448107214,99.8948633888682,-72.9153202494766
160.454153536497,93.5252261089913,-73.2313213750013
133.503962439245,112.916154236664,-72.9997672976635
173.082013303764,192.485986239095,-76.066783277789
110.925068581145,159.34075320532,-74.7563381509795
170.687209799293,107.926676713619,-73.2421118602796
113.776765963498,80.8240566232531,-74.7457202791081
147.769368470784,107.490239961963,-72.8940319450503
160.668078172039,124.328004413394,-73.2878489953463
116.226951000743,169.185221854311,-75.0817887563174
135.344414046334,131.333723395524,-73.4299717660797
