beta_0,beta_1,beta_2,sigma,log_likelihood
32.2080981858912,49.0354172123714,-36.8972075140993,7.93904102169993,-670.372363364379
30.2133943643951,52.4093851470996,-59.5491203437344,7.5565308520347,-670.065353861598
32.6203145919008,44.5960474853756,-34.1045899690471,8.57226723105527,-672.587897704135
34.9837704718257,43.4052027172638,-25.6294334345595,7.51382354704437,-674.659467361618
31.7851699977085,48.6698077175385,-40.8580029908489,7.2948758148255,-670.066403803732
32.1556765421076,48.525675916356,-11.4733621876113,8.47472068540699,-672.556441212648
31.0652982722019,49.2085793554136,-84.38958388479,8.43009495633254,-669.431013266971
30.9170314107429,48.9195216290774,-65.6224436906386,8.43779621287646,-669.50035059591
33.0121921550168,44.8336794253011,-13.3683069620732,8.20589901376239,-671.410907732607
31.0015370129663,49.3062154480556,-32.3494096031367,7.16661470607151,-671.256492529903
29.6700256649106,52.5327426840328,-65.240596407759,7.82739425925177,-669.119965567393
32.0311697542072,48.0977183345643,-51.2974673856486,7.89056446357329,-668.445550849216
31.0619724857111,48.8010214764909,-47.0345806845517,8.04931382259445,-668.733813230297
31.7139525227704,46.8541772986832,-11.6836279574159,8.26634210629407,-671.135787290633
32.8897795012416,46.6496111080252,-72.9740960744485,8.34136374328115,-669.920756686083
30.4396475085715,49.9475902713776,-31.6544893582542,7.58886931992641,-670.095203989469
30.6805774697996,47.9624632663803,-50.9848889652674,8.2464197665013,-670.90003986404
31.5058428692325,48.2187188563063,-74.308548958894,7.5827305726376,-668.935393152453
30.8657385196454,51.0407825295272,-45.7110709411819,7.69773911916483,-669.79532267584
32.0609023746557,47.9379864034542,-18.5580954361999,8.13546737866812,-670.446362333458
31.292279377432,49.7009722703597,-15.5181598375916,8.44743303032507,-672.010111070042
32.4403249014339,45.628694178561,-11.3915030116123,8.03592632441704,-671.094010139097
31.6694950923791,48.5074435945033,-61.2695611548041,7.74346613028971,-668.184131257696
31.1150762335955,50.1327836395082,-42.0426918512228,8.45299566303503,-670.023124985563
29.3827686269982,53.1481198887432,-80.3268154739133,8.44774686050223,-669.937728954582
32.4403249014339,45.628694178561,-11.3915030116123,8.03592632441704,-671.094010139097
30.8321454589341,49.9302685800546,-40.0810418865139,8.35146276773796,-669.590037629968
31.569023686474,47.6853975616714,-15.5855152747617,7.99035587499939,-670.343309944062
31.0992723202511,49.8707152067071,-61.7071054653225,7.93439803095871,-668.082098911772
30.9842083742197,50.7243958103405,-51.9009513024613,8.36910706592983,-669.628144982512
30.3477714925527,49.8948012501037,14.4616156864806,8.63712009835875,-675.726587022071
29.5264100016837,51.3825357389701,-35.9028508629524,7.58998932031155,-671.016821933747
32.1584024448064,48.1844640444766,-34.3173944761378,7.32802874549878,-670.581559706738
29.7145042957954,51.050124030094,-17.2011109210892,7.1043362769418,-674.986056035665
29.2919657439627,50.9090974608894,-41.8705499761606,8.0084860629544,-671.035113965299
31.721501746015,48.8420901174648,-29.6430190145518,7.8936401475161,-669.673552396126
