views,plays
156,0
107,1
187,0
17,0
47,0
5757,1
431,0
11,0
180,1
62,0
104,0
45,0
44,0
806,1
42,0
19,0
21,0
105,0
165,1
51,0
39,1
31,0
6723,1
266,1
46,0
61,1
351,0
1184,0
0,0
85,0
77,0
3,0
96,0
1,0
38,0
21,0
2,0
43,0
5,1
894,1
77,0
65,0
2126,0
12,0
28,0
73,0
99,0
60,1
490,0
430,0
